drug,smiles,BBB_score,MW,LogP,TPSA,HBD,HBA
Mobocertinib,CC(C)OC(=O)C1=CN=C(N=C1C2=CN(C3=CC=CC=C32)C)NC4=C(C=C(C(=C4)NC(=O)C=C)N(C)CCN(C)C)OC,1.0,585.7090000000003,5.075000000000004,113.84999999999998,2.0,9.0
Muromonab,,,,,,,
Natalizumab,,,,,,,
Necitumumab,,,,,,,
Neratinib,CCOC1=C(C=C2C(=C1)N=CC(=C2NC3=CC(=C(C=C3)OCC4=CC=CC=N4)Cl)C#N)NC(=O)C=CCN(C)C,1.0,557.0540000000001,5.932480000000006,112.39999999999999,2.0,8.0
Nintedanib,CN1CCN(CC1)CC(=O)N(C)C2=CC=C(C=C2)N=C(C3=CC=CC=C3)C4=C(NC5=C4C=CC(=C5)C(=O)OC)O,3.0,539.6360000000003,4.039400000000003,101.47,2.0,7.0
Niraparib,C1CC(CNC1)C2=CC=C(C=C2)N3C=C4C=CC=C(C4=N3)C(=O)N,7.0,320.3960000000001,2.5914,72.94,2.0,3.0
Olaparib,C1CC1C(=O)N2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=CC=CC=C54)F,7.0,434.4710000000001,2.3473999999999995,86.37,1.0,4.0
Olaratumab,,,,,,,
Olmutinib,CN1CCN(CC1)C2=CC=C(C=C2)NC3=NC4=C(C(=N3)OC5=CC=CC(=C5)NC(=O)C=C)SC=C4,3.0,486.60100000000017,5.103500000000004,82.62,2.0,8.0
Osimertinib,CN1C=C(C2=CC=CC=C21)C3=NC(=NC=C3)NC4=C(C=C(C(=C4)NC(=O)C=C)N(C)CCN(C)C)OC,5.0,499.6190000000003,4.509800000000004,87.55,2.0,7.0
Ozanimod,CC(C)OC1=C(C=C(C=C1)C2=NC(=NO2)C3=C4CCC(C4=CC=C3)NCCO)C#N,4.0,404.4700000000001,3.6316800000000025,104.20000000000002,2.0,7.0
Panitumumab,,,,,,,
Panobinostat,CC1=C(C2=CC=CC=C2N1)CCNCC3=CC=C(C=C3)C=CC(=O)NO,6.0,349.43399999999997,3.3272200000000014,77.15,4.0,3.0
Pazopanib,CC1=C(C=C(C=C1)NC2=NC=CC(=N2)N(C)C3=CC4=NN(C(=C4C=C3)C)C)S(=O)(=O)N,5.0,437.52900000000017,3.1390399999999996,119.02999999999999,2.0,7.0
Pegcetacoplan,,,,,,,
Peginterferon alfa-2a,,,,,,,
